epoch,train_loss,train_acc,train_ppl,val_loss,val_acc,val_ppl,test_loss,test_acc,test_ppl
27,1.3571176147460937,70.25,3.8849791412053825,1.8251140625,36.06,6.203502565763235,1.8206916137695313,36.24,6.176128468602755
28,1.3466431274414064,70.4,3.8444983543671554,1.8237199462890625,36.56,6.194860187910993,1.8194519409179688,36.41,6.168476833554498
29,1.3369635620117188,70.8,3.8074648044876023,1.821961767578125,36.3,6.183978085754767,1.8172852661132812,36.01,6.155126218659246
30,1.32740283203125,71.85,3.771236123862442,1.8188262939453126,36.78,6.164618751722143,1.8153777221679688,36.52,6.1433962361935714
31,1.3193002319335938,72.2,3.740802766838785,1.8173001708984375,36.54,6.155217960176837,1.8144891235351563,36.45,6.137939647414976
32,1.311033447265625,71.85,3.7100058271022798,1.816631689453125,36.74,6.15110468615546,1.813737548828125,36.65,6.133328260340707
33,1.3031029663085938,73.5,3.680700054568159,1.81525439453125,36.8,6.142638632372039,1.8120374755859374,36.69,6.122910011482083
34,1.2942703247070313,73.1,3.648332904290507,1.8120883544921875,36.74,6.123221546371745,1.8092845336914063,36.83,6.106077176534196
35,1.2865508422851561,73.6,3.6202780862205257,1.811889453125,36.76,6.122003750349242,1.8080142822265626,36.87,6.098325847167252
36,1.2792857055664062,74.2,3.5940715831477754,1.8094934326171874,36.96,6.10735286273721,1.8058637084960938,37.07,6.085225039975626
37,1.2731312255859375,74.3,3.5720198695613212,1.8093613525390626,36.84,6.106546256363453,1.805518896484375,36.92,6.083127142998654
38,1.2665177001953125,75.85,3.548474171316245,1.806799169921875,36.94,6.0909201966521005,1.80392451171875,36.72,6.073436025492506
39,1.260414306640625,75.6,3.5268823955096757,1.806337744140625,37.22,6.0881103373624414,1.8033146484375,37.02,6.069733189096283
40,1.2545043334960937,75.7,3.5061000872002483,1.8044914794921876,36.9,6.07688044433797,1.8014365234375,36.85,6.058344169799203
41,1.2493841552734375,76.65,3.4881941099037275,1.804778955078125,36.94,6.078627650231864,1.8002619506835937,36.96,6.051232381277716
42,1.244158447265625,76.6,3.470013371000556,1.80317880859375,37.24,6.0689087334864995,1.7992707763671876,36.93,6.045237526622562
43,1.2397151489257812,76.75,3.454629269736313,1.80264501953125,37.12,6.065670080838834,1.7987338989257813,37.2,6.041992846042416
44,1.2349127807617188,76.9,3.438078641027455,1.802084521484375,37.1,6.062271237217122,1.7984546142578124,37.28,6.040305645692101
45,1.2297340087890625,77.35,3.420319640319951,1.800667529296875,37.48,6.053687129478593,1.7969834594726561,37.17,6.031425954439296
46,1.225618408203125,77.3,3.406271898080831,1.8004264404296875,37.18,6.052227828823878,1.7962732666015624,37.36,6.027143999410867
47,1.2208219604492188,77.95,3.389973012510178,1.8001799072265625,37.4,6.050735937619112,1.7960586669921874,37.19,6.025850715437028
48,1.21576806640625,78.1,3.3728836683382153,1.7994849853515624,37.16,6.046532609517688,1.7956597534179688,37.07,6.023447401179635
